name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nicosia,2018-01-01,16.5,6,11.3,16.5,4.2,10.8,6.9,75.8,11.114,100,4.17,rain,0,0,,30.4,235.5,1015.1,37.3,10,126.2,11,5,,2018-01-01T06:55:03,2018-01-01T16:45:10,0.48,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"17530099999,17540099999,LCEN,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-02,18.4,6.5,12.4,18.4,5.6,12.1,7.2,71.9,0,0,0,,0,0,,22.1,229.6,1017.1,27.5,10,138.1,11.9,6,,2018-01-02T06:55:13,2018-01-02T16:45:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-03,18.7,8.2,12.7,18.7,8.2,12.7,9.1,79.7,0.372,100,12.5,rain,0,0,,13.9,83.8,1016.2,68.1,10,97,8.3,4,,2018-01-03T06:55:22,2018-01-03T16:46:43,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-04,16.3,8.9,11.7,16.3,7.7,11.6,7.8,77.6,1.14,100,16.67,rain,0,0,76,18.2,15.1,1009.8,74.9,9.9,63,5.5,2,,2018-01-04T06:55:28,2018-01-04T16:47:32,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17530099999,17510099999,17607499999,17550099999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-05,15.7,9.5,12,15.7,7.1,11.7,8.8,81.8,13.241,100,16.67,rain,0,0,,30.5,356.6,1006.3,83.5,9.2,91.3,7.9,4,,2018-01-05T06:55:33,2018-01-05T16:48:22,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-06,16.7,9.7,12.7,16.7,9.7,12.7,5.9,65,0.298,100,8.33,rain,0,0,,14.5,304.5,1020.1,32.9,10,131.1,11.3,5,,2018-01-06T06:55:36,2018-01-06T16:49:13,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-07,19.4,6.3,11.7,19.4,5.7,11.4,4.5,64.9,0,0,0,,0,0,,10.7,204.9,1029.5,0.8,10,142.6,12.4,6,,2018-01-07T06:55:37,2018-01-07T16:50:04,0.68,Clear,Clear conditions throughout the day.,clear-day,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-08,18.2,5.2,11.2,18.2,4.4,11,6.8,76,0,0,0,,0,0,,16,236.2,1031.3,17.8,10,145,12.5,6,,2018-01-08T06:55:36,2018-01-08T16:50:57,0.71,Clear,Clear conditions throughout the day.,clear-day,"17530099999,17540099999,LCEN,17510099999,17607499999,17500099999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-09,18.1,7.4,11.8,18.1,6.6,11.7,8.3,80,0,0,0,,0,0,,12.4,228.2,1029,51.6,9.9,136.2,11.6,5,,2018-01-09T06:55:33,2018-01-09T16:51:51,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"17530099999,17540099999,LCEN,17510099999,17601099999,17607499999,17500099999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-10,17.3,6.7,11.5,17.3,5.3,11.3,8.4,82.5,0.013,100,8.33,rain,0,0,,12.7,59.5,1025.6,68.8,9.4,71.4,6.2,3,,2018-01-10T06:55:28,2018-01-10T16:52:45,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-11,18.2,10,13.1,18.2,10,13.1,9.6,80.3,0.177,100,4.17,rain,0,0,,18.1,52.4,1018.4,60.3,9.9,96.8,8.4,4,,2018-01-11T06:55:21,2018-01-11T16:53:40,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"17530099999,LCEN,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-12,18.9,7,12.4,18.9,7,12.4,8.5,78.9,0.001,100,4.17,rain,0,0,,21.3,242.8,1020.1,30.3,9.3,141,12.2,6,,2018-01-12T06:55:13,2018-01-12T16:54:36,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-13,18.2,6.2,11.7,18.2,6.2,11.6,7.2,75.6,0.018,100,8.33,rain,0,0,,18.3,50.3,1019,32.1,10,141.7,12.2,6,,2018-01-13T06:55:02,2018-01-13T16:55:33,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"17530099999,17540099999,LCEN,17510099999,17601099999,17607499999,17505099999,17609099999,17515099999,17535099999"
Nicosia,2018-01-14,16.6,7.7,11.5,16.6,7.7,11.3,6.9,74.8,4.554,100,16.67,rain,0,0,,21.4,247,1015.4,51.4,9.9,106.6,9.2,4,,2018-01-14T06:54:50,2018-01-14T16:56:30,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17530099999,17510099999,17607499999,17505099999,17609099999,17515099999,17535099999"
